,file_size,compression (multiplier),error,error_increase(%),mean_diff,max_diff
Per-Tensor,16.64721965789795,3.974165202259984,0.0023187261540442705,2.4265646934509277,0.060647375881671906,1.0844333171844482
Per-Channel,16.669682502746582,3.9688099079209054,0.002476097084581852,9.378206253051758,0.13125556707382202,1.8208953142166138
Mixed Precision,16.654362678527832,3.972460691281434,0.002292168792337179,1.2534260749816895,0.012709005735814571,0.2753845453262329
Original,66.15880107879639,1.0,0.002263793721795082,0.0,0.0,0.0
